#Name;EEPROM;Master-Mirror;Short-Name;MB-Adr (dezimal);MB-Adr (hex);Index;Einheit;Type;Min;Max;Default
Firmware Version Application;0;0;FW_VERSION;0;0000;0;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_1;1;0001;1;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_2;2;0002;2;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_3;3;0003;3;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_4;4;0004;4;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_5;5;0005;5;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_6;6;0006;6;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_7;7;0007;7;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_8;8;0008;8;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_9;9;0009;9;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_10;10;000A;10;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_11;11;000B;11;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_12;12;000C;12;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_13;13;000D;13;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_14;14;000E;14;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_15;15;000F;15;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_16;16;0010;16;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_17;17;0011;17;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_18;18;0012;18;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_19;19;0013;19;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_20;20;0014;20;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_21;21;0015;21;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_22;22;0016;22;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_23;23;0017;23;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_24;24;0018;24;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_25;25;0019;25;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_26;26;001A;26;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_27;27;001B;27;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_28;28;001C;28;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_29;29;001D;29;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_30;30;001E;30;char;unsigned;0;65535;0
Firmware Version Application;0;0;FW_VERSION_31;31;001F;31;char;unsigned;0;65535;0
Hardware Version;0;0;HW_VERSION;48;0030;32;char;unsigned;0;65535;0
Hardware Version;0;0;HW_VERSION_1;49;0031;33;char;unsigned;0;65535;0
Hardware Version;0;0;HW_VERSION_2;50;0032;34;char;unsigned;0;65535;0
Hardware Version;0;0;HW_VERSION_3;51;0033;35;char;unsigned;0;65535;0
Hardware Version;0;0;HW_VERSION_4;52;0034;36;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL;53;0035;37;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_1;54;0036;38;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_2;55;0037;39;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_3;56;0038;40;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_4;57;0039;41;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_5;58;003A;42;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_6;59;003B;43;char;unsigned;0;65535;0
Firmware Version Bootloader;0;0;FW_VERSION_BL_7;60;003C;44;char;unsigned;0;65535;0
