#Name;EEPROM;Master-Mirror;Short-Name;MB-Adr (dezimal);MB-Adr (hex);Index;Einheit;Type;Min;Max;Default
firmwareProject 'oc'            control_unit_lightpad;0;0;FW_VERSION;0;0000;0;char;unsigned;0;65535;0
firmwareProject 'tn';0;0;FW_VERSION_1;1;0001;1;char;unsigned;0;65535;0
firmwareProject 'or';0;0;FW_VERSION_2;2;0002;2;char;unsigned;0;65535;0
firmwareProject '_l';0;0;FW_VERSION_3;3;0003;3;char;unsigned;0;65535;0
firmwareProject 'om';0;0;FW_VERSION_4;4;0004;4;char;unsigned;0;65535;0
firmwareProject 'ud';0;0;FW_VERSION_5;5;0005;5;char;unsigned;0;65535;0
firmwareProject '_l'sfasdafdsfdsf;0;0;FW_VERSION_6;6;0006;6;char;unsigned;0;65535;0
firmwareProject 'il';0;0;FW_VERSION_7;7;0007;7;char;unsigned;0;65535;0
firmwareProject 'hg';0;0;FW_VERSION_8;8;0008;8;char;unsigned;0;65535;0
firmwareProject 'pt';0;0;FW_VERSION_9;9;0009;9;char;unsigned;0;65535;0
firmwareProject 'da';0;0;FW_VERSION_10;10;000A;10;char;unsigned;0;65535;0
firmwareVersion [0] ['-']  - 01.00;0;0;FW_VERSION_11;11;000B;11;char;unsigned;0;65535;0
firmwareVersion ['.'] [1];0;0;FW_VERSION_12;12;000C;12;char;unsigned;0;65535;0
firmwareVersion [3] [2];0;0;FW_VERSION_13;13;000D;13;char;unsigned;0;65535;0
firmwareBuild [0] ['.']        .01;0;0;FW_VERSION_14;14;000E;14;char;unsigned;0;65535;0
firmwareBuild ['-'] [1];0;0;FW_VERSION_15;15;000F;15;char;unsigned;0;65535;0
gitCommit [1] [0]                 8 characters;0;0;FW_VERSION_16;16;0010;16;char;unsigned;0;65535;0
gitCommit [3] [2];0;0;FW_VERSION_17;17;0011;17;char;unsigned;0;65535;0
gitCommit [5] [4];0;0;FW_VERSION_18;18;0012;18;char;unsigned;0;65535;0
gitCommit [7] [6];0;0;FW_VERSION_19;19;0013;19;char;unsigned;0;65535;0
firmwareTarget [r] ['-']      rel;0;0;FW_VERSION_20;20;0014;20;char;unsigned;0;65535;0
firmwareTarget [l] [e];0;0;FW_VERSION_21;21;0015;21;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_22;22;0016;22;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_23;23;0017;23;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_24;24;0018;24;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_25;25;0019;25;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_26;26;001A;26;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_27;27;001B;27;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_28;28;001C;28;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_29;29;001D;29;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_30;30;001E;30;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_31;31;001F;31;char;unsigned;0;65535;0
hwVersions '61'                              1601-2;0;0;HW_VERSION;48;0030;32;char;unsigned;0;65535;0
hwVersions '10';0;0;HW_VERSION_1;49;0031;33;char;unsigned;0;65535;0
hwVersions '2-';0;0;HW_VERSION_2;50;0032;34;char;unsigned;0;65535;0
hwVersions '0v';0;0;HW_VERSION_3;51;0033;35;char;unsigned;0;65535;0
hwVersions '0v';0;0;HW_VERSION_4;52;0034;36;char;unsigned;0;65535;0
firmwareProject 'ob'            bootloader_control_unit_M3;0;0;FW_VERSION_BL;53;0035;37;char;unsigned;0;65535;0
firmwareProject 'to';0;0;FW_VERSION_BL_1;54;0036;38;char;unsigned;0;65535;0
firmwareProject 'ol';0;0;FW_VERSION_BL_2;55;0037;39;char;unsigned;0;65535;0
firmwareProject 'da';0;0;FW_VERSION_BL_3;56;0038;40;char;unsigned;0;65535;0
firmwareProject 're';0;0;FW_VERSION_BL_4;57;0039;41;char;unsigned;0;65535;0
firmwareProject 'c_';0;0;FW_VERSION_BL_5;58;003A;42;char;unsigned;0;65535;0
firmwareProject 'no';0;0;FW_VERSION_BL_6;59;003B;43;char;unsigned;0;65535;0
firmwareProject 'rt';0;0;FW_VERSION_BL_7;60;003C;44;char;unsigned;0;65535;0
firmwareProject 'lo';0;0;FW_VERSION_BL_8;61;003D;45;char;unsigned;0;65535;0
firmwareProject 'u_';0;0;FW_VERSION_BL_9;62;003E;46;char;unsigned;0;65535;0
firmwareProject 'in';0;0;FW_VERSION_BL_10;63;003F;47;char;unsigned;0;65535;0
firmwareProject '_t';0;0;FW_VERSION_BL_11;64;0040;48;char;unsigned;0;65535;0
firmwareProject 'M3';0;0;FW_VERSION_BL_12;65;0041;49;char;unsigned;0;65535;0
firmwareVersion [0] ['-']  - 01.00;0;0;FW_VERSION_BL_13;66;0042;50;char;unsigned;0;65535;0
firmwareVersion ['.'] [1];0;0;FW_VERSION_BL_14;67;0043;51;char;unsigned;0;65535;0
firmwareVersion [3] [2];0;0;FW_VERSION_BL_15;68;0044;52;char;unsigned;0;65535;0
firmwareBuild [0] ['.']        .01;0;0;FW_VERSION_BL_16;69;0045;53;char;unsigned;0;65535;0
firmwareBuild ['-'] [1];0;0;FW_VERSION_BL_17;70;0046;54;char;unsigned;0;65535;0
gitCommit [1] [0]                 8 characters;0;0;FW_VERSION_BL_18;71;0047;55;char;unsigned;0;65535;0
gitCommit [3] [2];0;0;FW_VERSION_BL_19;72;0048;56;char;unsigned;0;65535;0
gitCommit [5] [4];0;0;FW_VERSION_BL_20;73;0049;57;char;unsigned;0;65535;0
gitCommit [7] [6];0;0;FW_VERSION_BL_21;74;004A;58;char;unsigned;0;65535;0
firmwareTarget [r] ['-']      rel;0;0;FW_VERSION_BL_22;75;004B;59;char;unsigned;0;65535;0
firmwareTarget [l] [e];0;0;FW_VERSION_BL_23;76;004C;60;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_24;77;004D;61;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_25;78;004E;62;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_26;79;004F;63;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_27;80;0050;64;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_28;81;0051;65;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_29;82;0052;66;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_30;83;0053;67;char;unsigned;0;65535;0
not used;0;0;FW_VERSION_BL_31;84;0054;68;char;unsigned;0;65535;0
EEPROM Version;1;0;EEPROM_VERSION;255;00FF;69;-;unsigned;0;65535;43778
Device Type;0;0;DEVICE_TYPE;256;0100;70;-;unsigned;0;65535;2
(Random/Set) Modbus Address ;1;0;MODBUS_ADDRESS;257;0101;71;-;unsigned;0;65535;8
Modbus Timeout + multiplikation Faktor Ligt Measuring;1;0;MODBUS_TIMEOUT_LIGHTMEASURING_MULTI_FAKTOR;258;0102;72;-;unsigned;0;65535;1556
Command - Devicetype;0;0;MODBUS_COMMAND;259;0103;73;-;unsigned;0;65535;0
Write SN/BIL/DATE/Order Code = BEEF - Erase // FLASH = DEAD;0;0;WRITE_MANUFACTURE_INFO;512;0200;74;-;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER;528;0210;75;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_1;529;0211;76;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_2;530;0212;77;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_3;531;0213;78;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_4;532;0214;79;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_5;533;0215;80;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_6;534;0216;81;char;unsigned;0;65535;0
serialNumber;0;0;SERIAL_NUMBER_7;535;0217;82;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION;536;0218;83;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_1;537;0219;84;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_2;538;021A;85;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_3;539;021B;86;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_4;540;021C;87;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_5;541;021D;88;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_6;542;021E;89;char;unsigned;0;65535;0
HW/BOM;0;0;HW_BOM_VERSION_7;543;021F;90;char;unsigned;0;65535;0
Date;0;0;DATE;544;0220;91;char;unsigned;0;65535;0
Date;0;0;DATE_1;545;0221;92;char;unsigned;0;65535;0
Date;0;0;DATE_2;546;0222;93;char;unsigned;0;65535;0
Date;0;0;DATE_3;547;0223;94;char;unsigned;0;65535;0
Date;0;0;DATE_4;548;0224;95;char;unsigned;0;65535;0
Date;0;0;DATE_5;549;0225;96;char;unsigned;0;65535;0
Date;0;0;DATE_6;550;0226;97;char;unsigned;0;65535;0
Date;0;0;DATE_7;551;0227;98;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER;552;0228;99;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_1;553;0229;100;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_2;554;022A;101;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_3;555;022B;102;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_4;556;022C;103;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_5;557;022D;104;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_6;558;022E;105;char;unsigned;0;65535;0
Regent Order Code;0;0;REGENT_ITEM_NUMBER_7;559;022F;106;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER;560;0230;107;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_1;561;0231;108;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_2;562;0232;109;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_3;563;0233;110;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_4;564;0234;111;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_5;565;0235;112;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_6;566;0236;113;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_7;567;0237;114;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_8;568;0238;115;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_9;569;0239;116;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_10;570;023A;117;char;unsigned;0;65535;0
Regent Serial Number;0;0;REGENT_SERIAL_NUMBER_11;571;023B;118;char;unsigned;0;65535;0
ModBus to DALI Gateway Response Channel 1;0;0;MB2DALI_RESPONSE_CH1;4096;1000;119;-;unsigned;0;65535;0
ModBus to DALI Gateway Request Channel 1;0;0;MB2DALI_REQUEST_CH1;4097;1001;120;-;unsigned;0;65535;0
ModBus to DALI Gateway Response Channel 2;0;0;MB2DALI_RESPONSE_CH2;4098;1002;121;-;unsigned;0;65535;0
ModBus to DALI Gateway Request Channel 2;0;0;MB2DALI_REQUEST_CH2;4099;1003;122;-;unsigned;0;65535;0
Number of Light Decks;1;0;NUMBER_OF_LIGHT_DECKS;8193;2001;123;-;unsigned;0;5;5
Number of Panels;1;0;NUMBER_OF_PANELS;8194;2002;124;-;unsigned;0;3;3
Nachlaufzeit Sensor;1;0;PIR_DELAY_TIME;8195;2003;125;[s];unsigned;0;65535;600
Security Light Level Nachlaufzeit;1;0;SECURITY_LIGHT_LEVEL_DELAY_TIME;8196;2004;126;[s];unsigned;0;65535;0
Einschwingzeit PIR;1;0;PIR_SETTING_TIME;8197;2005;127;[s];unsigned;0;30;10000
Features Sensormodule 1 Enable/Disable 1 = Enable 0 = Disable bitweise: [0]=pir [1]=ligtcontrol [2]=button;1;0;SENSORMODULE_MODE;8198;2006;128;-;unsigned;0;65535;7
Features Sensormodule 2 Enable/Disable 1 = Enable 0 = Disable bitweise: [0]=pir [1]=ligtcontrol [2]=button;1;0;SENSORMODULE_MODE_1;8199;2007;129;-;unsigned;0;65535;7
Features Sensormodule 3 Enable/Disable 1 = Enable 0 = Disable bitweise: [0]=pir [1]=ligtcontrol [2]=button;1;0;SENSORMODULE_MODE_2;8200;2008;130;-;unsigned;0;65535;7
Features Sensormodule 4 Enable/Disable 1 = Enable 0 = Disable bitweise: [0]=pir [1]=ligtcontrol [2]=button;1;0;SENSORMODULE_MODE_3;8201;2009;131;-;unsigned;0;65535;7
Buttons Bedienelement 1 Enable / Disable    1 = Enable 0 = Disable       bitweise: [0] = button 1 - [1] = button 2 - [2] = button 3 - [3] = led Bedienelement;1;0;PANEL_1_MODE;8202;200A;132;-;unsigned;0;65535;15
Buttons Bedienelement 2 Enable / Disable    1 = Enable 0 = Disable       bitweise: [0] = button 1 - [1] = button 2 - [2] = button 3 - [3] = led Bedienelement;1;0;PANEL_2_MODE;8203;200B;133;-;unsigned;0;65535;15
Halbautomatic;1;0;HALF_AUTOMATIC_FLAG;8204;200C;134;-;unsigned;0;1;0
Sensodim Zuordnung 0 = Regelung auf jeweiligen Sensor - 1 = mittelwert aller Sensoren - 2 = Höchster Wert aller Sensoren - 3 = tiefster Wert aller Sensoren;1;0;SENSODIM_ASSIGNMENT;8205;200D;135;-;unsigned;0;3;0
Sollwert überschreibbar;1;0;ENABLE_OVERWRITE_SET_POINT;8206;200E;136;-;unsigned;0;1;1
min. safe point;1;0;MAX_SET_POINT_SENSOR;8207;200F;137;lux;unsigned;0;65535;5000
Fade Time Slow Dimming;1;0;FADE_TIME_SLOW_DIMMING;8208;2010;138;ms;unsigned;0;65535;5000
Fade In Time;1;0;FADE_IN_TIME;8209;2011;139;ms;unsigned;0;65535;2000
Fade Out Time;1;0;FADE_OUT_TIME;8210;2012;140;ms;unsigned;0;65535;10000
Fade On Off Time;1;0;FADE_ON_OFF_TIME;8211;2013;141;ms;unsigned;0;65535;500
Lightregulation Speed HB - 2-10           2 = sehr schnell - 10 = sehr langsam               LB - hysteresis - default 5% ;1;0;LIGHT_REGULATION_SPEED_HYSTERESIS;8212;2014;142;-;unsigned;0;10;2053
Min Light Value;1;0;MIN_LIGHT_VALUE;8213;2015;143;DALI;unsigned;104;144;104
Max Light Value;1;0;MAX_LIGHT_VALUE;8214;2016;144;DALI;unsigned;104;144;254
hold override = einschalten mit dem letzten wert;1;0;HOLD_OVERRIDE_FLAG;8215;2017;145;-;unsigned;0;1;1
Power Safe Mode;1;0;POWER_SAFE_MODE;8216;2018;146;-;unsigned;0;1;1
Power Safe Treshold;1;0;POWER_SAFE_TRESHOLD;8217;2019;147;%;unsigned;100;254;150
Power Safe Treshold Duration - nach wie langer Zeit überlicht geht man dann in den Brightout mode;1;0;POWER_SAFE_TRESHOLD_DURATION;8218;201A;148;s;unsigned;0;65535;600
Step UP DALI Value;1;0;DIM_STEP_UP;8219;201B;149;DALI;unsigned;1;100;10
Step DOWN DALI VALUE;1;0;DIM_STEP_DOWN;8220;201C;150;DALI;unsigned;1;100;10
Security Light Level;1;0;SECURITY_LIGHT_LEVEL;8221;201D;151;DALI;unsigned;0;254;0
Power UP bei Nezt ein - bitweise: [0]=head 1 [1]=head 2 etc.;1;0;POWER_UP_MODE;8222;201E;152;-;unsigned;0;1;0
Licht regelung auf temp value;1;0;LIGHT_CONTROL_ON_TEMP_VALUE_FLAG;8223;201F;153;-;unsigned;0;1;1
Relais Mode HB - Busy für Software! LB-Free;0;0;RELAIS_MODE;8224;2020;154;-;unsigned;0;1;1
Factory Brightness Value;1;0;FACTORY_BRIGHTNESS_VALUE;8225;2021;155;lux;unsigned;0;4000;1050
Alone At Work Mode = Bit 8-11 / Relais Mode = LB / Manual Initialisation = Bit 12-15;1;0;ALONE_AT_WORK_RELAIS_MODE;8226;2022;156;-;unsigned;0;257;257
Light Signalisation State Time - wie lange ist ein state / wenn = 0 - dann ist signalisation disabled;1;0;LIGHT_SIGNALISATION_STATE_TIME;8227;2023;157;ms;unsigned;0;5000;700
User Set Point Sensor 1;1;0;USER_BRIGHTNESS_VALUE;8228;2024;158;lux;unsigned;0;4000;1050
User Set Point Sensor 2;1;0;USER_BRIGHTNESS_VALUE_2;8229;2025;159;lux;unsigned;0;4000;1050
User Set Point Sensor 3;1;0;USER_BRIGHTNESS_VALUE_3;8230;2026;160;lux;unsigned;0;4000;1050
User Set Point Sensor 4;1;0;USER_BRIGHTNESS_VALUE_4;8231;2027;161;lux;unsigned;0;4000;1050
